image_name,predicted_label
0.jpg,biological
1.jpg,plastic
10.jpg,battery
100.jpg,battery
101.jpg,plastic
102.jpg,plastic
103.jpg,plastic
104.jpg,glass
105.jpg,plastic
106.jpg,battery
107.jpg,plastic
108.jpg,battery
109.jpg,glass
11.jpg,battery
110.jpg,plastic
111.jpg,biological
112.jpg,glass
113.jpg,biological
114.jpg,biological
115.jpg,cardboard
116.jpg,biological
117.jpg,glass
118.jpg,glass
119.jpg,plastic
12.jpg,glass
120.jpg,paper
121.jpg,glass
122.jpg,cardboard
123.jpg,biological
124.jpg,battery
125.jpg,plastic
126.jpg,cardboard
127.jpg,plastic
128.jpg,plastic
129.jpg,plastic
13.jpg,glass
130.jpg,plastic
131.jpg,battery
132.jpg,cardboard
133.jpg,paper
134.jpg,plastic
135.jpg,biological
136.jpg,battery
137.jpg,glass
138.jpg,plastic
139.jpg,paper
14.jpg,cardboard
140.jpg,glass
141.jpg,cardboard
142.jpg,plastic
143.jpg,metal
144.jpg,cardboard
145.jpg,metal
146.jpg,cardboard
147.jpg,glass
148.jpg,cardboard
149.jpg,paper
15.jpg,cardboard
150.jpg,plastic
151.jpg,biological
152.jpg,glass
153.jpg,plastic
154.jpg,cardboard
155.jpg,plastic
156.jpg,glass
157.jpg,glass
158.jpg,glass
159.jpg,plastic
16.jpg,plastic
160.jpg,battery
161.jpg,battery
162.jpg,paper
163.jpg,metal
164.jpg,glass
165.jpg,glass
166.jpg,biological
167.jpg,cardboard
168.jpg,paper
169.jpg,plastic
17.jpg,plastic
170.jpg,glass
171.jpg,glass
172.jpg,plastic
173.jpg,biological
174.jpg,battery
175.jpg,paper
176.jpg,biological
177.jpg,plastic
178.jpg,plastic
179.jpg,battery
18.jpg,cardboard
180.jpg,plastic
181.jpg,plastic
182.jpg,battery
183.jpg,plastic
184.jpg,plastic
185.jpg,paper
186.jpg,cardboard
187.jpg,battery
188.jpg,battery
189.jpg,plastic
19.jpg,battery
190.jpg,metal
191.jpg,cardboard
192.jpg,glass
193.jpg,battery
194.jpg,battery
195.jpg,glass
196.jpg,cardboard
197.jpg,cardboard
198.jpg,plastic
199.jpg,cardboard
2.jpg,biological
20.jpg,plastic
200.jpg,paper
201.jpg,paper
202.jpg,plastic
203.jpg,cardboard
204.jpg,cardboard
205.jpg,glass
206.jpg,battery
207.jpg,metal
208.jpg,paper
209.jpg,plastic
21.jpg,plastic
210.jpg,cardboard
211.jpg,glass
212.jpg,plastic
213.jpg,battery
214.jpg,paper
215.jpg,paper
216.jpg,plastic
217.jpg,glass
218.jpg,glass
219.jpg,glass
22.jpg,cardboard
220.jpg,paper
221.jpg,glass
222.jpg,battery
223.jpg,battery
224.jpg,cardboard
225.jpg,battery
226.jpg,cardboard
227.jpg,plastic
228.jpg,plastic
229.jpg,cardboard
23.jpg,paper
230.jpg,plastic
231.jpg,biological
232.jpg,glass
233.jpg,glass
234.jpg,biological
235.jpg,battery
236.jpg,plastic
237.jpg,biological
238.jpg,cardboard
239.jpg,plastic
24.jpg,cardboard
240.jpg,glass
241.jpg,glass
242.jpg,paper
243.jpg,glass
244.jpg,paper
245.jpg,paper
246.jpg,battery
247.jpg,paper
248.jpg,paper
249.jpg,glass
25.jpg,battery
250.jpg,plastic
251.jpg,plastic
252.jpg,cardboard
253.jpg,battery
254.jpg,biological
255.jpg,plastic
256.jpg,paper
257.jpg,battery
258.jpg,battery
259.jpg,battery
26.jpg,paper
27.jpg,plastic
28.jpg,paper
29.jpg,paper
3.jpg,plastic
30.jpg,glass
31.jpg,paper
32.jpg,plastic
33.jpg,plastic
34.jpg,cardboard
35.jpg,cardboard
36.jpg,metal
37.jpg,battery
38.jpg,glass
39.jpg,plastic
4.jpg,cardboard
40.jpg,cardboard
41.jpg,plastic
42.jpg,battery
43.jpg,plastic
44.jpg,glass
45.jpg,battery
46.jpg,glass
47.jpg,battery
48.jpg,plastic
49.jpg,paper
5.jpg,glass
50.jpg,battery
51.jpg,glass
52.jpg,paper
53.jpg,cardboard
54.jpg,biological
55.jpg,glass
56.jpg,battery
57.jpg,plastic
58.jpg,cardboard
59.jpg,paper
6.jpg,plastic
60.jpg,battery
61.jpg,cardboard
62.jpg,plastic
63.jpg,battery
64.jpg,battery
65.jpg,glass
66.jpg,paper
67.jpg,plastic
68.jpg,paper
69.jpg,plastic
7.jpg,glass
70.jpg,glass
71.jpg,plastic
72.jpg,plastic
73.jpg,paper
74.jpg,glass
75.jpg,glass
76.jpg,paper
77.jpg,glass
78.jpg,biological
79.jpg,cardboard
8.jpg,plastic
80.jpg,battery
81.jpg,cardboard
82.jpg,glass
83.jpg,battery
84.jpg,cardboard
85.jpg,glass
86.jpg,glass
87.jpg,biological
88.jpg,battery
89.jpg,cardboard
9.jpg,biological
90.jpg,glass
91.jpg,plastic
92.jpg,biological
93.jpg,paper
94.jpg,metal
95.jpg,plastic
96.jpg,metal
97.jpg,paper
98.jpg,plastic
99.jpg,glass
